filename,apparent_presentation,strong_region_fit,additional_region_fit
pilot_portrait_033.png,masculine-presenting,Nordic Europe; Britain & Ireland; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_034.png,feminine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_035.png,masculine-presenting,Britain & Ireland; Nordic Europe; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_036.png,feminine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_037.png,masculine-presenting,Middle East & North Africa; South Asia; North America; Britain & Ireland,Western & Central Europe; Central Asia; Southeast Asia; Oceania
pilot_portrait_038.png,feminine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_039.png,masculine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_040.png,feminine-presenting,North America; Latin America & Caribbean; Britain & Ireland; Western & Central Europe,Middle East & North Africa; Sub-Saharan Africa; South Asia; East Asia; Southeast Asia; Oceania
pilot_portrait_041.png,masculine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_042.png,feminine-presenting,Latin America & Caribbean; Western & Central Europe; Middle East & North Africa; North America,Britain & Ireland; South Asia; Oceania
pilot_portrait_043.png,masculine-presenting,Latin America & Caribbean; Western & Central Europe; Middle East & North Africa; North America,Britain & Ireland; South Asia; Oceania
pilot_portrait_044.png,feminine-presenting,Latin America & Caribbean; Western & Central Europe; Middle East & North Africa; North America,Britain & Ireland; South Asia; Oceania
pilot_portrait_045.png,feminine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_046.png,masculine-presenting,Nordic Europe; Britain & Ireland; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_047.png,feminine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_048.png,masculine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_049.png,feminine-presenting,Britain & Ireland; Nordic Europe; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_050.png,masculine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_051.png,masculine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_052.png,feminine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_053.png,masculine-presenting,Nordic Europe; Britain & Ireland; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_054.png,feminine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_055.png,masculine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_056.png,feminine-presenting,Nordic Europe; Britain & Ireland; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_057.png,masculine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_058.png,masculine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_059.png,feminine-presenting,Latin America & Caribbean; Western & Central Europe; Middle East & North Africa; North America,Britain & Ireland; South Asia; Oceania
pilot_portrait_060.png,masculine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_061.png,masculine-presenting,Middle East & North Africa; South Asia; North America; Britain & Ireland,Western & Central Europe; Central Asia; Southeast Asia; Oceania
pilot_portrait_062.png,ambiguous/androgynous,Britain & Ireland; Nordic Europe; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_063.png,masculine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_064.png,feminine-presenting,Nordic Europe; Britain & Ireland; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_065.png,masculine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_066.png,feminine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_067.png,masculine-presenting,Latin America & Caribbean; Western & Central Europe; Middle East & North Africa; North America,Britain & Ireland; South Asia; Oceania
pilot_portrait_068.png,feminine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_069.png,masculine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_070.png,masculine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_071.png,masculine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_072.png,feminine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_073.png,masculine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_074.png,feminine-presenting,Britain & Ireland; Nordic Europe; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_075.png,masculine-presenting,Oceania; Southeast Asia; North America; Latin America & Caribbean,East Asia; Sub-Saharan Africa; Western & Central Europe; Britain & Ireland
pilot_portrait_076.png,masculine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_077.png,feminine-presenting,Britain & Ireland; Nordic Europe; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_078.png,masculine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_079.png,feminine-presenting,Nordic Europe; Britain & Ireland; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_080.png,masculine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_081.png,feminine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_082.png,masculine-presenting,Latin America & Caribbean; Western & Central Europe; Middle East & North Africa; North America,Britain & Ireland; South Asia; Oceania
pilot_portrait_083.png,ambiguous/androgynous,Nordic Europe; Britain & Ireland; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_084.png,feminine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_085.png,masculine-presenting,Britain & Ireland; Nordic Europe; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_086.png,masculine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_087.png,feminine-presenting,Nordic Europe; Britain & Ireland; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_088.png,masculine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_089.png,feminine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_090.png,masculine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_091.png,feminine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_092.png,masculine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_093.png,feminine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_094.png,masculine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_095.png,feminine-presenting,Latin America & Caribbean; Western & Central Europe; Middle East & North Africa; North America,Britain & Ireland; South Asia; Oceania
pilot_portrait_096.png,masculine-presenting,Sub-Saharan Africa; North America; Latin America & Caribbean; Britain & Ireland,Western & Central Europe; Nordic Europe; Middle East & North Africa; Oceania
pilot_portrait_097.png,feminine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
pilot_portrait_098.png,masculine-presenting,Nordic Europe; Britain & Ireland; Western & Central Europe; North America,Eastern Europe & Russia; Oceania; Latin America & Caribbean
pilot_portrait_099.png,feminine-presenting,East Asia; Southeast Asia; North America,Britain & Ireland; Western & Central Europe; Central Asia; Oceania; Latin America & Caribbean
pilot_portrait_100.png,masculine-presenting,Britain & Ireland; Western & Central Europe; North America,Nordic Europe; Eastern Europe & Russia; Latin America & Caribbean; Oceania
